Time Of Stop,Location,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,State,VehicleType,Make,Model,Color,Violation Type,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type
15,1912 ARCOLA AVE,No,No,No,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,GREEN,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
11,QUINCE ORCHARD RD @ FIRSTFIELD RD,No,No,No,No,No,No,No,MD,02 - Automobile,DODGE,RAM,BLACK,Citation,Transportation Article,Yes,HISPANIC,M,NORTH POTOMAC,MD,MD,A - Marked Patrol
19,VEIRS MILL DRVE AND TWINBROOK PARKWAY,No,No,Yes,No,No,No,No,MD,02 - Automobile,PLYMOUTH,VOYAGER,GREEN,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
6,LN 3 WB 124 @ 270,No,No,No,No,No,No,No,MD,02 - Automobile,TOYT,4S,GREEN,Citation,Transportation Article,Yes,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol
1,VEIRS MILL RD / GAYNOR RD,No,No,No,No,No,No,No,MD,02 - Automobile,DODGE,VAN,BLUE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
8,"6915 DAMASCUS ROAD DAMASCUS, MD",No,No,Yes,No,No,No,No,MD,03 - Station Wagon,FORD,SW,MAROON,Citation,Transportation Article,Yes,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol
14,16100 BLOCK BARNESVILLE RD,No,No,Yes,No,No,No,No,MD,12 - School Bus,FREIGHTLINER,BUS,YELLOW,Warning,Transportation Article,Yes,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol
20,OLD GEORGETOWN @ TUCKERMAN LANE,No,No,Yes,No,No,No,No,MD,02 - Automobile,CADILLAC,4DR,WHITE,Citation,Transportation Article,Yes,WHITE,F,N BETHESDA,MD,MD,A - Marked Patrol
20,11200 LOCKWOOD DRIVE,No,No,No,No,No,No,No,GA,02 - Automobile,ACURA,TL,"GREEN, DK",Citation,Transportation Article,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol
12,GEORGIA AVE/ARCOLA AVE,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,BLUE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
23,WASHINGTONIAN BLVD / RIO BLVD,No,No,No,No,No,No,No,MD,02 - Automobile,HYUNDAI,4D,SILVER,Citation,Transportation Article,Yes,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol
9,355 ON S/B I270,No,Yes,No,No,No,No,No,MD,28 - Other,TOYOTA,4 RUNNER,SILVER,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol
0,DALE DR/FLEETWOOD ST,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,MUSTANG,BLACK,Citation,Transportation Article,Yes,WHITE,F,BOYDS,MD,TX,A - Marked Patrol
10,FALLS RD / MONTROSE RD,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,CHRYSLER,SEBRING,WHITE,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
17,CLOPPER RD./PHEASANT RUN DR.,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,MAROON,Citation,Transportation Article,Yes,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol
12,ARCOLA AVE / KENBROOK DR,No,No,No,No,No,No,No,MD,02 - Automobile,PONT,VIBE,BLUE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
22,11010 VEIRS MILL RD,No,No,No,No,Yes,No,No,MD,02 - Automobile,DODGE,TRUCK,"GREEN, LGT",Citation,Transportation Article,Yes,HISPANIC,M,HYATTSVILLE,MD,SK,A - Marked Patrol
15,DEMOCRACY BLVD AND ROCKLEDGE DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,SUV,BLUE,Citation,Transportation Article,Yes,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol
20,PIPING ROCK DR/EASTWAY,No,No,Yes,No,No,No,No,NY,02 - Automobile,ACURA,TL,GOLD,Citation,Transportation Article,Yes,NATIVE AMERICAN,M,KENT,WA,WA,A - Marked Patrol
11,RIVER RD @ HARRINGTON DR,No,No,Yes,No,No,No,No,WI,02 - Automobile,VOLKSWAGEN,PASSAT,SILVER,Citation,Transportation Article,Yes,WHITE,M,WASHINGTON,DC,WI,A - Marked Patrol
16,NEW HAMPSHIRE AVENUE & LOCKWOOD DRIVE,No,No,Yes,No,No,No,No,DC,02 - Automobile,DODGE,STRATUS,BLACK,Citation,Transportation Article,Yes,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol
19,13601 CONNECTICUT AVE,No,No,No,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,RED,Citation,Transportation Article,Yes,WHITE,F,BLOOMINGTON,IN,IN,A - Marked Patrol
7,RIVER ROAD/WESTBARD AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,MITSUBISHI,LANCER,WHITE,Citation,Transportation Article,Yes,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol
13,S/B CONNECTICUT AVENUE @ MANOR RD,No,No,Yes,No,No,No,No,VA,02 - Automobile,DODGE,CARAVAN,SILVER,Citation,Transportation Article,Yes,OTHER,M,MANASSAS,VA,VA,A - Marked Patrol
11,NB CONNECTICUT AVE AT I-495,No,No,Yes,No,No,No,No,MD,03 - Station Wagon,TOYT,TK,WHITE,Citation,Transportation Article,Yes,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol
19,UNIVERSITY BLVD E @ LEXINGTON DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,BMW,Z4,GRAY,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
22,TAFT ST / E GUDE DR,No,No,No,No,No,No,No,MD,02 - Automobile,HYUNDAI,SONATA 4S,WHITE,Citation,Transportation Article,Yes,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol
20,FERN ST / REEDIE DR,No,Yes,No,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,BEIGE,Citation,Transportation Article,Yes,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol
18,N/B GEORGIA AVE/ INTERNATIONAL DR,No,No,No,No,No,No,No,MD,02 - Automobile,HOND,4S,BLACK,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
13,OLD GEORGETOWN RD AT 355,No,Yes,No,No,No,No,No,MD,28 - Other,CHEVY,COLORADO,MAROON,Citation,Transportation Article,Yes,ASIAN,M,BETHESDA,MD,MD,A - Marked Patrol
9,WATKINS MILL RD & MILLSTREAM DR,No,Yes,No,No,Yes,No,No,MD,02 - Automobile,MITS,4S,RED,Citation,Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol
16,905 NORTHWEST DR,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,4RUNNER,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
21,SHADY GROVE RD/CORPORATE BLVD,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,ODYSSEY,WHITE,Citation,Transportation Article,Yes,OTHER,M,NORTH POTOMAC,MD,MD,A - Marked Patrol
19,GEORGIA AVE @ UNIVERSITY BLVD,No,No,Yes,No,Yes,No,No,MD,02 - Automobile,FORD,F150,GREEN,Citation,Transportation Article,Yes,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol
9,IN THE PKGN LOT OF 4010 RANDOLPH RD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,VAN,WHITE,Warning,Transportation Article,Yes,BLACK,M,MEMPHIS,TN,TN,A - Marked Patrol
1,GEORGIA AVE/FOREST GLEN RD,No,No,Yes,No,Yes,No,No,DC,02 - Automobile,NISSAN,MAXIMA,GRAY,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,XX,A - Marked Patrol
21,TUCKERMAN LA / ROCKVILLE PIKE,No,Yes,No,No,No,No,No,MD,03 - Station Wagon,FORD,WINDSTAR,GRAY,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
6,1133 EAST WEST HIGHWAY,No,No,No,No,No,No,No,GA,02 - Automobile,MASE,QUATTROPORTE Q,BLACK,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
19,SB NEW HAMPSHIRE AVE @ CHALMERS RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,SEQUOIA,SILVER,Warning,Transportation Article,Yes,BLACK,F,UPPER MARLBORO,MD,MD,A - Marked Patrol
12,SHADY GROVE RD NB/ CRABBS BRANCH WAY,Yes,No,No,No,No,No,No,MD,05 - Light Duty Truck,FORD,EXPLORER,GREEN,Citation,Transportation Article,Yes,BLACK,F,LAYTONSVILLE,MD,MD,A - Marked Patrol
7,UNIVERSITY BLVD @ EAST MELBOURNE AVE,No,No,No,No,No,No,No,XX,29 - Unknown,NONE,NONE,N/A,Citation,Transportation Article,Yes,BLACK,F,SILVER SPRING,MD,VA,A - Marked Patrol
13,"8507 COLESVILLE ROAD SILVER SPRING, MD",No,Yes,No,No,No,No,No,MD,02 - Automobile,MERCEDEZ,E320,BLUE,Citation,Transportation Article,Yes,BLACK,F,CHEVY CHASE,MD,MD,A - Marked Patrol
16,8600 OLD GEORGETOWN RD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,BLACK,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
19,MVA & LAKE SHORE DR,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,BLACK,Citation,Transportation Article,Yes,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol
1,GEORGIA AVE/ REEDIE DR,No,No,No,No,No,No,No,MD,02 - Automobile,LEXUS,4S,GOLD,Citation,Transportation Article,Yes,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol
16,8120 CARROLL AVE,No,No,No,No,No,No,No,MD,02 - Automobile,GMC,TRUCK,BLACK,Citation,Transportation Article,Yes,OTHER,M,LAUREL,MD,MD,A - Marked Patrol
12,I 270 SB @ SHADY GROVE RD,No,No,Yes,No,No,No,No,DC,02 - Automobile,HONDA,CIVIC,GREEN,Citation,Transportation Article,Yes,WHITE,M,WASHINGTON,DC,VA,I - Marked Moving Radar (Moving)
13,COLESVILLE ROAD AT GEORGIA AVENUE,No,No,No,No,No,No,No,MD,02 - Automobile,HYUNDAI,SANTA FE,BLACK,Citation,Transportation Article,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol
17,WASHINGTON GROVE LN AT TOWNE CREST DR,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,PONTIAC,GRAD PRIX,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol
16,1 MEDIMMUNE WAY,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,RED,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
18,CASTLE BLVD AT BRIGGS CHANEY RD,No,No,No,No,No,No,No,MD,02 - Automobile,CHRYSLER,4S,SILVER,Citation,Transportation Article,Yes,BLACK,F,WALDORF,MD,MD,A - Marked Patrol
15,20700 WATKINS MILL RD AT GREEN RIVER TER,No,Yes,No,No,No,No,No,MD,02 - Automobile,NISSAN,ALTIMA,GREEN,Citation,Transportation Article,Yes,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol
16,116 UNIVERSITY BLVD W,No,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,BLACK,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
21,18340 CATTAIL RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,FORD,EXPEDITION,BLACK,Citation,Transportation Article,Yes,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol
21,KEY WEST AVE/ GREAT SENECA HWY,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,GOLD,Citation,Transportation Article,Yes,ASIAN,F,NORTH POTOMAC,MD,VA,A - Marked Patrol
16,1 MEDIMMUNE WAY,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,RED,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
10,UNIV BLVD E / COLESVILLE,Yes,No,No,No,No,No,No,MD,02 - Automobile,FORD,4S,BROWN,Citation,Transportation Article,Yes,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol
15,13876 OLD COLUMBIA PIKE,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,TARUS,SILVER,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
21,20611 DARNESTOWN RD,No,Yes,No,No,No,No,No,MD,01 - Motorcycle,DUCA,MC,BLACK,Citation,Transportation Article,Yes,WHITE,F,NORTH POTOMAC,MD,TX,A - Marked Patrol
19,GEORGIA AVE/RANDOLPH RD,No,No,No,No,No,No,No,MD,28 - Other,JEEP,WRANGLER,"GREEN, DK",Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,FL,A - Marked Patrol
0,RT 355 AND RT 118,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,GOLD,Warning,Transportation Article,Yes,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol
16,MIDWAY AVE / ALEUTIAN AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,BLAZER,WHITE,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
11,RANDOLPH ROAD @ DALEWOOD DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,ACURA,TK,SILVER,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
16,SHAWNEE LANE AND FREDREICK RD .25 MI W,No,Yes,No,No,No,No,No,MD,02 - Automobile,CHEVY,MALIBU,BLACK,Citation,Transportation Article,Yes,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol
1,BRINK/124,No,No,No,No,No,No,No,MD,01 - Motorcycle,TOYT,COROLLA,BEIGE,Citation,Transportation Article,Yes,HISPANIC,M,BROOKVILLE,MD,MD,A - Marked Patrol
16,"40 MARKET ST, GAITHERSBURG, MD, 20878",No,No,No,No,No,No,No,MD,02 - Automobile,MERZ,C300,GRAY,Citation,Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol
4,GEORGIA AVE @ SPRING ST,No,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,BMX,X3,GRAY,Citation,Transportation Article,Yes,BLACK,F,LARGO,MD,MD,A - Marked Patrol
14,EAST RANDOLPH RD AND FAIRLAND RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,DODG,4D,WHITE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
12,S/B RT 355 @ HENDERSON CORNER RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,TAN,Citation,Transportation Article,Yes,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol
23,CONNECTICUT AVE @ GEORGIA AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,MERC,MOUNTAINIER,GRAY,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
14,18664 MUSTARD SEED CT,No,No,Yes,No,No,No,No,MD,02 - Automobile,ACURA,MDX,BEIGE,Warning,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol
0,WASHINGTON GROVE LN./PEPPER RIDGE WAY,No,No,No,No,No,No,No,MD,02 - Automobile,CHEVROLET,CORVETTE,RED,Citation,Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol
7,S.B. WISCONSIN AVENUE AT BATTERY LANE,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,HIGHLANDER,BLACK,Warning,Transportation Article,Yes,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol
15,BRADLEY BLVD@ BURNING TREE RD,Yes,No,Yes,No,No,No,No,VA,02 - Automobile,KIA,OPTIMA,GRAY,Citation,Transportation Article,Yes,WHITE,M,HERNDON,VA,VA,A - Marked Patrol
21,GEORGIA AVE/ HATHAWAY DR,No,No,Yes,No,No,No,No,DC,02 - Automobile,HONDA,CIVIC,GRAY,Citation,Transportation Article,Yes,HISPANIC,F,WASHINGTON,DC,DC,A - Marked Patrol
14,UNIVERSITY BLVD W/INWOOD AVE,No,Yes,No,No,No,No,No,MD,02 - Automobile,MITSHUBISHI,MONTERO,YELLOW,Citation,Transportation Article,Yes,BLACK,F,BURTSONSVILLE,MD,MD,A - Marked Patrol
10,RUSSELL AVE/WATKINS MILL ROAD,No,No,No,No,No,No,No,MD,02 - Automobile,NISS,4S,WHITE,Citation,Transportation Article,Yes,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol
17,WINDHAM LA ON GEORGIA AVE,No,Yes,No,No,No,No,No,MD,02 - Automobile,BMW,2S,BLACK,Citation,Transportation Article,Yes,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol
15,11255 NEW HAMPSHIRE AVE,No,No,No,No,No,No,No,MD,02 - Automobile,MERCEDES,E550,SILVER,Citation,Transportation Article,Yes,BLACK,F,TEMPLE HILLS,MD,MD,A - Marked Patrol
17,751 E GUDE DRIVE,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,CHEVY,TAHOE,BLUE,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
19,ARCOLA AVE / GALT AVE,No,No,No,No,No,No,No,MD,01 - Motorcycle,SUZUKI,GXSR,BLUE,Citation,Transportation Article,Yes,BLACK,M,SUITLAND,MD,MD,A - Marked Patrol
17,"11200 COLUMBIA PIK / 498 PRELUDE DR ,MCG",No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,WHITE,Citation,Transportation Article,Yes,BLACK,M,ELKRIDGE,MD,MD,A - Marked Patrol
18,UNIVERSITY BLV W / VALLEY VIEW AVE.,No,Yes,No,No,No,No,No,MD,02 - Automobile,KIA,SPORTAGE,SILVER,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
0,"12102 GEORGIA AVE, WHEATON, MD 20902",No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
15,RIVER RD/FALLS RD,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,VOLKSWAGAN,TIGUAN,RED,Citation,Transportation Article,Yes,WHITE,F,POTOMAC,MD,MD,A - Marked Patrol
11,FREDERICK RD/E GUDE DR  NB LANES,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,RAV4,SILVER,Citation,Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol
15,S/B 270 @ 355,No,Yes,No,No,No,No,No,MD,07 - Truck/Road Tractor,MACK,DAY,WHITE,Citation,Transportation Article,Yes,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol
21,CLOPPER RD/ GREAT SENECA HWY,No,No,No,No,No,No,No,MD,02 - Automobile,ACURA,4DR,BLUE,Citation,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol
16,GEORGIA AVE @ OLANDWOOD CT,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,FUSION,GRAY,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
7,E. RANDOLPH RD EB @ WITHAN DR,No,No,No,Yes,No,No,No,MD,03 - Station Wagon,HONDA,PILOT,BLACK,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol
17,9719 TRAVILLE GATEWAY DR,No,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,LEXU,RX350,BLACK,Citation,Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol
18,FLOWER AVE AT HOUSTON AVE,No,No,No,No,No,No,No,MD,02 - Automobile,CADI,4S,BROWN,Warning,Transportation Article,Yes,WHITE,F,TAKOMA PARK,MD,MD,A - Marked Patrol
16,316 KENTLANDS BLVD,No,No,Yes,No,No,No,No,MD,02 - Automobile,HOND,ACCORD,WHITE,Citation,Transportation Article,Yes,ASIAN,F,GAITHERSBURG,MD,MD,A - Marked Patrol
0,"12102 GEORGIA AVE, WHEATON, MD 20902",No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
11,12405 HICKORY TREE WAY,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,IMPALA,BLACK,Citation,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol
19,N/B E. JEFFERSON ST AT W/B MONTROSE RD,No,No,Yes,No,No,No,No,MD,03 - Station Wagon,HONDA,CRV,SILVER,Citation,Transportation Article,Yes,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol
3,9300 BLK PINEY BRANCH RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,ACCORD,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
11,S/B 355 @ GROSVENOR LA,No,Yes,No,No,No,No,No,VA,02 - Automobile,MBENZ,S500,BLACK,Citation,Transportation Article,Yes,BLACK,F,STERLING,VA,VA,A - Marked Patrol
8,S/B CONNECTICUT AVD X BRADLEY LN,No,No,No,No,No,No,No,VA,02 - Automobile,HONDA,CIVIC,RED,Citation,Transportation Article,Yes,WHITE,F,FLOYD,VA,VA,A - Marked Patrol
20,FORRESR BROOK @ WARING STATION,No,No,No,No,No,No,No,MD,02 - Automobile,HOND,4S,GRAY,Warning,Transportation Article,Yes,WHITE,M,BRUNSWICK,MD,MD,A - Marked Patrol
6,OLD COLUMBIA PIKE / SANDY SPRING RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,IMPALA,PURPLE,Citation,Transportation Article,Yes,BLACK,M,LAUREL,MD,MD,A - Marked Patrol
11,CENTERWAY RD/ SNOUFFERS SCHOOL RD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,COBALT,SILVER,Citation,Transportation Article,Yes,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol
10,SB 270 / SHADY GROVE,No,No,No,No,No,No,No,MD,28 - Other,NISS,QUEST,RED,ESERO,,Yes,BLACK,F,KENSINGTON,MD,MD,A - Marked Patrol
23,2801 MCCOMAS AVE,No,No,No,No,No,No,No,MD,02 - Automobile,JEEP,WRANGLER,TAN,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
8,108 EB @ NEW HAMPSHIRE AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,BMW,4S,GREEN,Citation,Transportation Article,Yes,HISPANIC,M,BALTIMORE,MD,MD,A - Marked Patrol
10,29 S/B - FAIRLAND RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,MITS,GALANT,SILVER,Citation,Transportation Article,Yes,BLACK,M,WINDSOR MILL,MD,MD,A - Marked Patrol
14,14011 GEORGIA AVE,No,Yes,No,No,No,No,No,VA,02 - Automobile,DODGE,DART,BLACK,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
12,NORBECK RD WB @ BARN RIDGE DR,No,Yes,No,No,No,No,No,MD,02 - Automobile,NISSAN,MAXIMA,BEIGE,Citation,Transportation Article,Yes,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol
0,3400 MAY ST,No,No,Yes,No,Yes,No,No,MD,02 - Automobile,TOYOTA,SU,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
21,101111 SUTHERLAND RD,No,No,No,No,No,No,No,MD,02 - Automobile,AUDI,A5,SILVER,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
7,1800 OLNEY SANDY SPRING RD,No,Yes,No,No,No,No,No,MD,05 - Light Duty Truck,CHEV,TK,BROWN,Citation,Transportation Article,Yes,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol
0,S GLEN ROAD @ NORTON ROAD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,CHEVROLET,TRUCK,"BLUE, DARK",Citation,Transportation Article,Yes,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol
7,N/B CONN AVE @ RANDOLPH RD,Yes,No,Yes,No,No,No,No,MD,02 - Automobile,CHEVY,VN,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
13,12111 PARKLAWN DR.,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,FORD,F250,WHITE,Warning,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
18,ENT. TO 390 N. SUMMIT AVE,Yes,Yes,No,No,No,No,No,MD,05 - Light Duty Truck,TOYT,4 RUNNER,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol
0,GERMANTOWN ROAD @ FREDERICK ROAD,No,No,No,No,No,No,No,MD,02 - Automobile,TOYTOA,SIENNA,RED,Citation,Transportation Article,Yes,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol
1,OLD GEORGETOWN/AUBURN,No,No,No,No,No,No,No,MD,02 - Automobile,JEEP,SUV,"BLUE, DARK",Warning,Transportation Article,Yes,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol
8,SB GEORGIA  AVE @ WAYNE AVE,No,No,No,No,No,No,No,MD,02 - Automobile,FORD,CROWN,GREEN,Citation,Transportation Article,Yes,BLACK,M,NEW CARROLLTON,MD,MD,A - Marked Patrol
12,355 AT ELM,No,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,BLUE,Citation,Transportation Article,Yes,WHITE,F,TAKOMA PARK,MD,MD,L - Motorcycle
18,18600 BLOK OF KINFISHER TER,No,No,Yes,No,No,No,No,MD,02 - Automobile,ACURA,4S,WHITE,Citation,Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol
15,CHERRY HILL RD / FDA BLVD,No,Yes,No,No,No,No,No,MD,02 - Automobile,NISSAN,FRONTIER,SILVER,Citation,Transportation Article,Yes,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol
11,NORBECK RD/ROCKING SPRING DR,No,No,No,No,No,No,No,MD,02 - Automobile,GMC,TRUCK,RED,Citation,Transportation Article,Yes,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol
23,21000 BEALLSVILLE ROAD,No,No,No,No,No,No,No,MD,02 - Automobile,NISS,4S,WHITE,Citation,Transportation Article,Yes,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol
